Date,Open,High,Low,Close,Volume
02/08/2024,"3.52","3.98","3.38","3.78","2,098,096"
02/07/2024,"3.67","3.67","3.36","3.50","1,224,318"
02/06/2024,"3.83","4.01","3.46","3.62","2,085,882"
02/05/2024,"3.77","3.94","3.58","3.66","1,296,616"
02/02/2024,"3.70","3.83","3.42","3.74","1,457,646"
02/01/2024,"3.87","4.05","3.61","3.69","1,869,369"
01/31/2024,"3.46","4.00","3.37","3.78","3,839,204"
01/30/2024,"3.06","3.50","2.95","3.40","3,481,249"
01/29/2024,"2.68","3.22","2.63","3.05","3,313,821"
01/26/2024,"2.58","2.69","2.53","2.57","605,029"
01/25/2024,"2.73","2.75","2.50","2.57","974,329"
01/24/2024,"2.84","2.87","2.60","2.64","1,022,294"
01/23/2024,"2.80","2.95","2.66","2.77","1,464,106"
01/22/2024,"2.71","3.16","2.70","2.80","3,630,154"
01/19/2024,"2.56","2.64","2.49","2.61","787,145"
01/18/2024,"2.58","2.62","2.49","2.57","718,097"
01/17/2024,"2.51","2.68","2.48","2.59","1,016,723"
01/16/2024,"2.64","2.68","2.48","2.59","936,139"
01/12/2024,"2.41","2.78","2.40","2.56","1,860,921"
01/11/2024,"2.85","2.85","2.30","2.39","2,528,659"
01/10/2024,"2.35","3.12","2.32","2.83","4,874,664"
01/09/2024,"2.25","2.34","2.17","2.30","928,295"
01/08/2024,"2.35","2.42","2.20","2.29","1,431,630"
01/05/2024,"2.16","2.46","2.10","2.30","1,456,291"
01/04/2024,"2.25","2.37","2.09","2.11","1,203,020"
01/03/2024,"2.33","2.36","2.22","2.24","817,417"
01/02/2024,"2.63","2.64","2.35","2.36","914,440"
